Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
588532C,232301,425291,1.8,0.8,10.2,78,0.28,500,100,1.5,0.49,0.733,0.14,3.17,6.5,42.8,43.7,10.3,13.4,15.2,93.7,10.5,0.9,10.5,0.4,11.1,49.9,95.7,25.8,878.3,14.4,0.8,31.4,4.5,2.2,19.5,0.3,2.4,0.6,18.1,0.8,11.8,3.6,0.25,0.1,0.25,1.4,0.9,0.1,5.8,1,309,45,82,1.91,0.25,0.27
588533C,256094,435778,1.5,1.2,12.5,57,0.39,55,100,2.01,0.86,1.099,0.178,6.16,9.8,86.5,72.2,26,35.3,38.3,120.4,13.4,0.6,6.1,0.8,35.2,62.1,118.2,37.2,1057.5,19.5,1.1,39.8,5.6,4.1,22,1.3,3.8,0.3,74.6,1.1,11.7,4,0.25,0.1,0.25,14,0.4,0.2,9.6,2,419,44,84,3.23,1.24,0.54
588534C,237736,444775,1.9,2.6,12.3,55,0.37,128,12,2.13,1.23,0.811,0.169,5.7,11.3,75.2,48.1,18.8,27,36.3,134.5,15.4,1.7,8.3,1.8,35.8,70.6,169.5,43.7,585.9,16.4,1.3,53.5,5.5,3,11.1,1,3.6,1.4,30.7,0.4,10.8,8.8,0.1,0.5,0.25,2.5,0.5,0.25,9.8,2,492,59,94,2.66,1.83,0.71
588536C,238571,445947,1.3,2.2,12.1,51,0.42,147,31,2.38,1.69,0.908,1.044,7.46,11.6,87.6,58,40.5,36.9,42,174,15.6,2.4,8.7,1.7,64.8,82.9,142.2,37.9,657.4,15.5,1.1,45.9,6,4.4,13.6,0.1,3,0.9,18.9,0.8,10.6,4.1,0.25,0.5,0.25,3.5,0.5,0.25,31.1,3,746,53,95,1.79,1.79,0.71
588537C,241565,444115,0.3,0.9,4.4,23,0.16,1829,218,0.88,1.56,0.432,0.133,12.88,4.9,61.5,25.4,9.5,9.3,11.3,54.5,7.6,0.8,60.1,1.7,116.5,28.5,85.7,15.2,303.2,6.4,1.5,21,2.8,1.5,6.4,0.1,0.3,1.1,32,0.5,5.8,1.7,0.2,0.5,0.3,1.2,0.6,0.25,23.6,1,185,18,34,1.14,1.17,0.62
588538C,231316,419340,1.8,2.7,14.6,58,0.26,6013,2686,2.58,2.18,0.82,0.073,6.36,11.4,96.8,78.9,28.7,42.9,57.9,114.6,16.8,0.9,8.6,0.7,30.5,85.4,159.8,32.4,457.3,15,1.9,43.3,5.5,3.1,9.8,0.5,2,0.7,22.4,0.9,10.6,3.2,0.25,0.2,0.25,2.4,0.4,0.25,4.5,3,451,51,86,2.55,1.93,1.2
588539C,224069,390945,0.9,2.8,12.2,43,0.45,731,100,3.06,1.73,0.738,1.129,10.49,10.9,77.2,44.4,39.9,19.1,19.8,135.4,16.4,0.6,49,0.6,22.9,96.2,204.2,32.6,793.7,15.3,2.1,39.4,3.9,3.3,17.2,0.3,2.2,0.8,23.7,0.7,12,3.5,0.25,0.25,0.25,2.4,1.2,0.25,14,2,918,40,84,1.37,0.57,0.21
588541C,252602,435844,1.5,1.5,14.7,58,0.32,500,100,2.26,0.85,1.119,0.31,7.64,11.2,94.5,68.8,34.6,33.8,37.5,108,16.1,1.2,11.1,0.5,21,72.3,135.5,36,1404.9,20.1,1,40.8,7.6,3.3,30.2,0.1,3.7,0.8,16.2,1.3,13.7,4.1,0.25,0.25,0.25,2.9,0.6,0.25,7.9,2,473,46,92,3.42,1.45,1.56
588543C,227153,391988,1.6,2,11.6,63,0.48,101,100,2.32,1.38,0.782,0.482,5.67,10.2,62.7,51.5,19.3,29.8,20.9,127.2,13.6,0.2,18.2,0.7,21,81.4,169.5,31.1,761,15,0.9,33.3,4.1,4.2,15.9,0.5,3.6,0.8,26,0.5,10.6,3,0.25,0.5,0.25,2.6,0.8,0.25,8.5,1,527,34,66,1.77,0.25,0.2
588544C,227909,392515,1.6,2.3,12.8,59,0.43,500,100,2.85,1.11,0.97,0.394,6.2,12.9,80.1,52.3,21,23.7,18.8,106,16.6,1.2,17.2,0.5,17.5,100.8,121.3,38.3,1026.7,19.2,1.4,40.3,6.4,4.1,22.5,1.1,3.9,0.3,24.7,0.8,13.1,4.6,0.25,0.25,0.25,2.2,1,0.1,8,2,679,42,89,0.5,0.25,0.16
